州,州_中文,SKU,总数量
Florida,佛罗里达州,V01GQ004S,281
Florida,佛罗里达州,V01GQ003,168
Florida,佛罗里达州,V01GQ103S,97
Florida,佛罗里达州,V01GQ004,95
Florida,佛罗里达州,V01GQ013,75
California,加利福尼亚州,V01GQ004S,151
California,加利福尼亚州,V01GQ003,102
California,加利福尼亚州,V01GQ004,73
California,加利福尼亚州,V01GQ013,65
California,加利福尼亚州,V01GQ103S,49
Texas,得克萨斯州,V01GQ004S,127
Texas,得克萨斯州,V01GQ003,91
Texas,得克萨斯州,V01GQ004,66
Texas,得克萨斯州,V01GQ013,46
Texas,得克萨斯州,V01GQ103S,43
New York,纽约州,V01GQ004S,145
New York,纽约州,V01GQ003,99
New York,纽约州,V01GQ004,78
New York,纽约州,V01GQ013,51
New York,纽约州,V01GQ012,27
Pennsylvania,宾夕法尼亚州,V01GQ004S,119
Pennsylvania,宾夕法尼亚州,V01GQ003,96
Pennsylvania,宾夕法尼亚州,V01GQ013,44
Pennsylvania,宾夕法尼亚州,V01GQ004,41
Pennsylvania,宾夕法尼亚州,V01GQ012,21
Ohio,俄亥俄州,V01GQ003,79
Ohio,俄亥俄州,V01GQ004S,73
Ohio,俄亥俄州,V01GQ004,62
Ohio,俄亥俄州,V01GQ013,33
Ohio,俄亥俄州,V01GQ103S,30
Michigan,密歇根州,V01GQ003,78
Michigan,密歇根州,V01GQ004S,71
Michigan,密歇根州,V01GQ013,51
Michigan,密歇根州,V01GQ004,37
Michigan,密歇根州,V01GQ103S,22
Illinois,伊利诺伊州,V01GQ004S,94
Illinois,伊利诺伊州,V01GQ003,61
Illinois,伊利诺伊州,V01GQ004,40
Illinois,伊利诺伊州,V01GQ013,25
Illinois,伊利诺伊州,V01GQ103S,20
Georgia,佐治亚州,V01GQ004S,64
Georgia,佐治亚州,V01GQ103S,38
Georgia,佐治亚州,V01GQ003,35
Georgia,佐治亚州,V01GQ004,32
Georgia,佐治亚州,V01GQ013,16
North Carolina,北卡罗来纳州,V01GQ004S,77
North Carolina,北卡罗来纳州,V01GQ003,43
North Carolina,北卡罗来纳州,V01GQ004,35
North Carolina,北卡罗来纳州,V01GQ013,26
North Carolina,北卡罗来纳州,V01GQ103S,25
New Jersey,新泽西州,V01GQ004S,81
New Jersey,新泽西州,V01GQ003,54
New Jersey,新泽西州,V01GQ004,29
New Jersey,新泽西州,V01GQ013,24
New Jersey,新泽西州,V01GQ103S,23
Massachusetts,马萨诸塞州,V01GQ003,69
Massachusetts,马萨诸塞州,V01GQ004S,60
Massachusetts,马萨诸塞州,V01GQ004,42
Massachusetts,马萨诸塞州,V01GQ013,13
Massachusetts,马萨诸塞州,V01GQ2004,7
Washington,华盛顿州,V01GQ004S,73
Washington,华盛顿州,V01GQ003,42
Washington,华盛顿州,V01GQ013,22
Washington,华盛顿州,V01GQ004,20
Washington,华盛顿州,V01GQ103S,11
Indiana,印第安纳州,V01GQ004S,61
Indiana,印第安纳州,V01GQ003,38
Indiana,印第安纳州,V01GQ004,23
Indiana,印第安纳州,V01GQ013,20
Indiana,印第安纳州,V01GQ103S,19
Virginia,弗吉尼亚州,V01GQ004S,54
Virginia,弗吉尼亚州,V01GQ003,30
Virginia,弗吉尼亚州,V01GQ103S,21
Virginia,弗吉尼亚州,V01GQ013,17
Virginia,弗吉尼亚州,V01GQ004,15
